         3411122 function calls (3342073 primitive calls) in 14.481 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 __init__.py:124(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:124(ServerNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:124(UserDataHandler)
       12    0.000    0.000    0.000    0.000 __init__.py:1245(_bool_method_SERIES)
       97    0.000    0.000    0.001    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:128(ProxiesUnavailableError)
        4    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        5    0.000    0.000    0.000    0.000 __init__.py:13(<listcomp>)
        6    0.000    0.000    0.100    0.017 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(_init)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.000    0.000 __init__.py:131(_try_enable_svml)
      502    0.000    0.000    0.003    0.000 __init__.py:1317(safe_name)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
      522    0.002    0.000    0.018    0.000 __init__.py:1325(safe_version)
       44    0.000    0.000    0.003    0.000 __init__.py:1330(_flex_method_SERIES)
       98    0.000    0.000    0.001    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1342(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1344(<dictcomp>)
     1085    0.001    0.000    0.002    0.000 __init__.py:1356(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:136(_import_OrderedDict)
        4    0.000    0.000    0.000    0.000 __init__.py:137(_declare_state)
        7    0.000    0.000    0.001    0.000 __init__.py:1380(warning)
       19    0.000    0.000    0.000    0.000 __init__.py:1382(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:1383(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1385(Http)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1394(get_resource_filename)
        1    0.000    0.000    0.067    0.067 __init__.py:14(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:140(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:140(EventType)
      300    0.000    0.000    0.006    0.000 __init__.py:1406(_get_metadata_path)
      271    0.000    0.000    0.008    0.000 __init__.py:1409(has_metadata)
       29    0.000    0.000    0.002    0.000 __init__.py:1416(get_metadata)
      598    0.001    0.000    0.001    0.000 __init__.py:1429(log)
       29    0.000    0.000    0.002    0.000 __init__.py:1431(get_metadata_lines)
        7    0.000    0.000    0.000    0.000 __init__.py:1446(findCaller)
        1    0.000    0.000    0.000    0.000 __init__.py:145(dynamic_wildcard_import)
       68    0.000    0.000    0.008    0.000 __init__.py:1463(_arith_method_FRAME)
        7    0.000    0.000    0.000    0.000 __init__.py:1476(makeRecord)
      301    0.001    0.000    0.006    0.000 __init__.py:1486(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:149(<listcomp>)
        7    0.000    0.000    0.001    0.000 __init__.py:1491(_log)
      301    0.001    0.000    0.004    0.000 __init__.py:1492(_validate_resource_path)
